21,PASIVO CORRIENTE 
2101,CUENTAS Y DOCUMENTOS POR PAGAR A LARGO PLAZO 
210101,CUENTAS POR PAGAR 
21010101,Sobregiros bancarios 
21010102,Proveedores 
2101010201,Nacionales 
2101010202,Extrangeros 
21010103,Acreedores varios 
21010104,Excedentes por pagar
21010105,Asociados por liquidar 
21010106,Otros 
210102,DOCUMENTOS POR PAGAR 
21010201,Cheques rechazados 
21010202,Letras de cambio
21010203,Pagares
21010204,Favcturas cambiarias 
21010205,Mutuo
21010206,Otros 
2102,RETENCIONES LEGALES 
21020201,IMPUESTO RETENIDO ISR 
2102020101,Empleados 
2102020102,Terceros 10%
21020202,IVA PERCIBIDO 1%
21020203,IVA RETENIDO 1%
21020204,ISSS (SALUD)
210205,AFP¨S
2102020501,Confia 
2102020502,Crecer 
21020206,OTRAS RETENCIONES 
2102020601,Procuraduria general de la republica 
2102020602,"Bancos,instituciones financieras y cooperativas"
2102020603,Fondo socisl para la vivienda 
2103,IMPUESTO POR PAGAR 
21030101,Pago a cuenta ISR 
21030102,Liquidacion de impuesto IVA 
21030103,Impuestos municipales 
21030106,Otros 
2104,IMPUESTOS SOBRE LA RENTA POR PAGAR 
21040101,Impuesto sobre la renta 
2105,BENEFICIOS A EMPLEADOS POR PAGAR 
210501,BENEFICIOS A CORTO PLAZO 
21050101,Sueldos 
21050102,Aguinaldos 
21050103,Imdemnizaciones 
21050104,Vacaciones 
21050105,Bonificaciones 
21050106,Gratificaciones 
210502,BENEFICIOS POS-EMPLEO POR PAGAR 
21050201,Aporte patronal ISSS (salud)
21050202,Aporte patronal fondo de pensiones 
21050203,Aporte insaforp
21050204,Estimacion para obligaciones laborales 
2106,CUENTAS POR PAGAR PARTES RELACIONADAS
210601,Sociedades 
210602,Directivos 
210603,Gerente
210604,Familiares 
210605,Otros 
2107,IVA -DEBITO FISCAL 
210701,Comprobantes de credito fiscal 
210702,Facturas comsumidor final 
2108,INGRESOS COBRADOS POR ANTICIPADO
210801,ANTICIPOS 
2109,PRESTAMOS POR PAGAR A CORTO PLAZO 
210901,BANCARIOS
21090101,Banco HSBC 
21090102,Banco cuscatlan 
21090103,Banco Agricola 
21090104,Banco Scotiabank
21090105,Banco de Fomento Agropecuario 
210902,INSTITUCIONES FINANCIERAS NO BANCARIAS 
21090201,
21090202,
210903,PERSONAS NATURALES 
210904,PERSONAS JURIDICAS
210905,PORCION CORRIENTE PRESTAMOS DE LARGO PLAZO 
21090501,Bancarios 
21090502,Instituciones financieras no bancarias 
21090503,Personas naturales
21090504,Personas juridicas 
210906,PORCION CORRIENTE OBLIGACIONES CON ARRENDAMIENTO 
2110,INTERESES POR PAGAR 
211001,SOBRE PRESTAMOS 
21100101,Basncarios
21100102,Intituciones financieras no bancarias 
21100103,Personas naturales 
21100104,Personas juridicas 
2111,PROVISIONES 
211101,Cuota patronal ISSS
211102,Cuota patronal AFP
211103,Pago a cuenta 
211104,Demandas 
211105,Embrgos 
211106,Otros 
22,PASIVO NO CORRIENTE 
2201,CUENTAS Y DOCUMENTOS POR PAGARA A LARGO PLAZO 
220101,CUENTAS POR PAGAR 
22010101,Poroveedores 
22010102,Acreedores varios 
22010103,Otros 
220102,DOCUMENTOS POR PAGAR 
22010201,Letras de cambio
22010202,Mutuos
22010203,Pagares 
22010204,Otros 
2202,PRESTAMOS POR PAGAR A LARGO PLAZO 
220201,BANCARIOS 
22020101,Banco HSBC 
22020102,Banco cuscatlan 
22020103,Banco Agricola 
22020104,Banco Scotiabank
22020105,Banco de Fomento Agropecuario 
220202,INSTITUCIONES FINANCIERAS NO BANCARIAS 
22020201,Cooperativas 
22020202,Federaciones
220203,PERSONAS NATURALES 
220204,PERSONAS JURIDICAS
2203,OBLIGACIONES ARRENDAMIENTO FINANCIERO DE LARGO PLAZO 
220301,
2204,CUENTAS POR PAGAR L/P PRTES RELACIONADAS 
220401,
2205,IMPUESTO SOBRE LA RENTA DIFERIDO 
220501,
